mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,energy,zcr,spectral_centroid,label
-296.6421813964844,150.5290069580078,26.50882339477539,27.553163528442383,13.343515396118164,20.356304168701172,10.071709632873535,7.596879959106445,5.677622318267822,5.4818339347839355,3.563206434249878,2.9192698001861572,3.240410327911377,0.013010363094508648,0.017899445564516128,683.6839881358362,0
-393.5387878417969,79.84317016601562,-11.432976722717285,50.23687744140625,-5.6872358322143555,18.44289207458496,-2.9993250370025635,-8.16887092590332,12.368330955505371,4.715765476226807,6.209798812866211,4.4022297859191895,2.774247169494629,0.0073282914236187935,0.0576171875,1879.134991435261,1
-107.39218139648438,107.36734771728516,-74.95352935791016,66.26546478271484,-44.371517181396484,59.477294921875,-17.235824584960938,33.9214973449707,-8.07573127746582,14.783552169799805,1.4231971502304077,-1.3078160285949707,17.937562942504883,0.008499723859131336,0.15488558868102006,2658.5976083668893,0
-397.3423767089844,43.83763122558594,-17.548681259155273,-54.3949089050293,-42.387916564941406,-2.06021785736084,30.973615646362305,35.143497467041016,11.704298973083496,-19.500288009643555,-33.7154426574707,-20.4637393951416,7.759883880615234,0.43266379833221436,0.12052734375,1122.8299994182737,0
-146.4652099609375,105.33888244628906,-52.026084899902344,73.48155975341797,-46.62345886230469,52.31893539428711,-37.83843994140625,23.692832946777344,-16.80946922302246,1.566420555114746,-2.4134011268615723,-7.9223737716674805,9.674605369567871,0.002453387714922428,0.2309829754933854,3024.5951081058693,0
-46.21427536010742,112.07449340820312,-117.66593933105469,79.0971450805664,-78.71395111083984,57.65092849731445,-44.15965270996094,35.34174728393555,-29.34720230102539,9.961363792419434,-3.1993215084075928,-2.9817986488342285,9.737595558166504,0.018811430782079697,0.26959370457848836,3124.2087236093494,0
-310.83172607421875,56.7826042175293,18.370088577270508,31.328319549560547,-9.107696533203125,14.909758567810059,22.46822738647461,15.051277160644531,-4.30803108215332,17.692840576171875,1.485339641571045,3.0313010215759277,8.584352493286133,0.0005781290237791836,0.17705078125,3026.6210210799168,0
-280.7390441894531,77.43254852294922,-40.57067108154297,-21.292415618896484,-25.8890380859375,18.60602569580078,7.744311332702637,23.956296920776367,-3.759046792984009,-13.511564254760742,8.8494234085083,7.796514987945557,22.529462814331055,0.08781377226114273,0.09844926918938307,1744.8864024199868,0
-139.87388610839844,126.51888275146484,-21.510475158691406,68.43698120117188,-10.507884979248047,39.45282745361328,-15.726424217224121,17.308250427246094,-7.778011322021484,6.207801342010498,0.20940078794956207,-5.466989040374756,5.927597522735596,0.016460856422781944,0.07385218317237609,1708.0740489314776,0
-256.6103820800781,138.8639678955078,-40.704933166503906,-24.245845794677734,-28.77004623413086,1.0639538764953613,6.421180725097656,38.72594451904297,25.36155128479004,10.044953346252441,4.731130123138428,5.134523391723633,18.548120498657227,0.018109790980815887,0.05887451171875,1109.984705320282,0
